# source: Binance public market data (BTCUSDT 4h)
# url: https://data-api.binance.vision/api/v3/klines?symbol=BTCUSDT&interval=4h&limit=1000
# downloaded_at: 2026-09-21
# license: Public API; data provided as-is by Binance
date,open,high,low,close,volume
2026-04-25T20:00,77330.00000000,77650.00000000,77311.05000000,77625.00000000,840.61983000
2026-04-26T00:00,77625.00000000,77642.43000000,77326.51000000,77400.21000000,671.17692000
2026-04-26T04:00,77400.21000000,78200.00000000,77383.46000000,78102.53000000,1405.76785000
2026-04-26T08:00,78102.53000000,78210.00000000,77926.59000000,78101.44000000,721.69853000
2026-04-26T12:00,78101.43000000,78173.15000000,77770.00000000,78049.00000000,1130.54235000
2026-04-26T16:00,78049.00000000,78500.00000000,77850.00000000,78221.16000000,1505.06004000
2026-04-26T20:00,78221.17000000,78961.00000000,77843.75000000,78657.55000000,2529.31593000
2026-04-27T00:00,78657.55000000,79485.66000000,78400.03000000,79105.49000000,3042.99628000
2026-04-27T04:00,79105.50000000,79160.00000000,77465.05000000,77606.60000000,3608.39615000
2026-04-27T08:00,77606.59000000,77980.00000000,77553.23000000,77844.26000000,1607.93582000
2026-04-27T12:00,77844.25000000,78265.34000000,76564.33000000,76793.09000000,3804.78309000
2026-04-27T16:00,76793.10000000,76990.43000000,76459.64000000,76878.07000000,2644.92390000
2026-04-27T20:00,76878.23000000,77450.00000000,76763.71000000,77371.32000000,1337.88894000
2026-04-28T00:00,77371.32000000,77478.00000000,76672.00000000,76815.18000000,1448.26407000
2026-04-28T04:00,76815.18000000,77154.00000000,76424.90000000,76879.28000000,2882.71195000
2026-04-28T08:00,76879.28000000,77013.63000000,76130.10000000,76229.00000000,2842.73206000
2026-04-28T12:00,76228.99000000,76421.94000000,75666.60000000,76066.38000000,3776.77215000
2026-04-28T16:00,76066.37000000,76380.83000000,75881.28000000,76330.97000000,1381.80454000
2026-04-28T20:00,76330.97000000,76481.30000000,76197.02000000,76342.77000000,878.43906000
2026-04-29T00:00,76342.78000000,77127.62000000,76187.75000000,76994.78000000,1891.92924000
2026-04-29T04:00,76994.77000000,77455.71000000,76880.00000000,77053.64000000,2974.57510000
2026-04-29T08:00,77053.65000000,77904.93000000,76972.32000000,77590.03000000,2697.20554000
2026-04-29T12:00,77590.04000000,77596.39000000,75705.32000000,75924.25000000,5263.52444000
2026-04-29T16:00,75924.24000000,76274.80000000,74937.52000000,75563.86000000,3962.49362000
2026-04-29T20:00,75563.87000000,76088.90000000,75497.43000000,75780.00000000,1490.20228000
2026-04-30T00:00,75780.00000000,76473.26000000,75494.70000000,75928.10000000,1613.44526000
